Regionale kerncijfers Nederland,,,,,
Perioden: 2020,,,,,
,,Onderwerp,,,
Regio's,statcode,Bevolking|Particuliere huishoudens|Particuliere huishoudens|Totaal aantal particuliere huishoudens,Bouwen en wonen|Woningvoorraad|Voorraad op 1 januari,shortage,shortage_%
Oost-Groningen (CR),CR01,62111,64431,"2,320",3.74
Delfzijl en omgeving (CR),CR02,21416,22952,"1,536",7.17
Overig Groningen (CR),CR03,211942,194664,"-17,278",-8.15
Noord-Friesland (CR),CR04,149202,151788,"2,586",1.73
Zuidwest-Friesland (CR),CR05,62159,65466,"3,307",5.32
Zuidoost-Friesland (CR),CR06,83113,85324,"2,211",2.66
Noord-Drenthe (CR),CR07,85233,87028,"1,795",2.11
Zuidoost-Drenthe (CR),CR08,75364,76237,873,1.16
Zuidwest-Drenthe (CR),CR09,58704,59986,"1,282",2.18
Noord-Overijssel (CR),CR10,159632,160274,642,0.40
Zuidwest-Overijssel (CR),CR11,69885,69614,-271,-0.39
Twente (CR),CR12,278892,280408,"1,516",0.54
Veluwe (CR),CR13,297200,293144,"-4,056",-1.36
Achterhoek (CR),CR14,175538,179906,"4,368",2.49
Arnhem/Nijmegen (CR),CR15,355947,338181,"-17,766",-4.99
Zuidwest-Gelderland (CR),CR16,102808,101141,"-1,667",-1.62
Utrecht (CR),CR17,610332,585924,"-24,408",-4.00
Kop van Noord-Holland (CR),CR18,167599,168987,"1,388",0.83
Alkmaar en omgeving (CR),CR19,112282,113021,739,0.66
IJmond (CR),CR20,88951,89976,"1,025",1.15
Agglomeratie Haarlem (CR),CR21,108510,108806,296,0.27
Zaanstreek (CR),CR22,77465,75918,"-1,547",-2.00
Groot-Amsterdam (CR),CR23,704559,673400,"-31,159",-4.42
Het Gooi en Vechtstreek (CR),CR24,116862,118642,"1,780",1.52
Agglomeratie Leiden en Bollenstreek (CR),CR25,200268,192562,"-7,706",-3.85
Agglomeratie 's-Gravenhage (CR),CR26,420566,416557,"-4,009",-0.95
Delft en Westland (CR),CR27,113258,103871,"-9,387",-8.29
Oost-Zuid-Holland (CR),CR28,144274,143879,-395,-0.27
Groot-Rijnmond (CR),CR29,680936,672375,"-8,561",-1.26
Zuidoost-Zuid-Holland (CR),CR30,160686,163644,"2,958",1.84
Zeeuwsch-Vlaanderen (CR),CR31,49634,54753,"5,119",10.31
Overig Zeeland (CR),CR32,126065,132858,"6,793",5.39
West-Noord-Brabant (CR),CR33,288790,285958,"-2,832",-0.98
Midden-Noord-Brabant (CR),CR34,220834,213716,"-7,118",-3.22
Noordoost-Noord-Brabant (CR),CR35,290513,291212,699,0.24
Zuidoost-Noord-Brabant (CR),CR36,357324,349725,"-7,599",-2.13
Noord-Limburg (CR),CR37,125628,125553,-75,-0.06
Midden-Limburg (CR),CR38,108012,108974,962,0.89
Zuid-Limburg (CR),CR39,298681,298704,23,0.01
Flevoland (CR),CR40,176625,172227,"-4,398",-2.49
Nederland,NL01,7997800,7891786,"-106,014",-1.33
